country,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,,,6.45,,,7.45,,,6.92,6.9,,,,,,5.71,,,10.6,8.9,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,1.69,,7.91,,,11.2,,,11.7
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,14.9,18.9,,,,,,,,,,,,,,,,,,23.6,,,,,3.78,9.43,7.36,,,9.58,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,6.56,7.8,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.1,3.6,4.4,5.7,6.7,6.4,6.1,7,7.3,9.5,9.1,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.4,15.8,15,14.4,14.1,13.8,16,13.1,13.7,14.1,13.5,13.4,15.9,18.1,17.2,15.4,13.6,12.3,11.5,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,12.5,23,,23.2,20.5,17.2,14.5,13.9,13.6,12.8,13.1,14,15.3,16.2,,14,,15.6,15.1,16.1,18.2,14.7,12.4,10.6,9.62,,9.78,,13,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,1.15,,,,,,,,,,1.8,,,,,2.25,,,,,3.12,,,,,,,,,,,1.64,2.46,,2.23,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,4.8,6,6.6,5.6,3.4,2.3,4.5,2.8,2.8,2,2.3,4.5,4.73,4.17,3.54,5.3,4.4,5.3,6,7.3,7.06,5.44,6.36,10.1,11.8,18.8,17.1,14.8,12.7,14.1,15,17.3,19.6,15.4,13.5,11.5,10.1,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,,,8.35,9.22,9.84,11.5
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,,,,,,,,9.81,23,18.4,19,18.4,17.3,16.2,17.5,18.3,17.6,17.7,19,18.3,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17.2,19.1,14.9,13.8,14.3,12.4,12.6,12.8,13,13.1,13.3,13.4,,,,5.11,,,,,,,,,,5.05,,,,,9.98,,,,,9.2,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,19.5,19.4,20.7,,,,,,,,,,,,,,,6,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,6.11,5.78,7.16,9.96,8.99,8.26,8.08,8.11,7.23,6.18,6.93,9.58,10.7,10.9,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46
Austria,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,1.5,1.3,1.2,1.3,2,2,1.8,2.1,2,1.9,2.06,3.35,4.11,3.8,3.6,3.12,3.79,3.55,3.14,3.25,3.42,3.59,4.25,3.54,4.35,5.28,5.15,5.52,4.7,4.69,4.01,4.85,4.78,5.83,5.63,5.24,4.86,4.13,5.3,4.82,4.56,4.87,5.33,5.62,5.72,6.01,5.5,4.85,4.49,5.36
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.52,0.65,0.8,0.9,1.03,1.13,16.3,11.8,10.9,10,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,4.85,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,14,,,,,,,,,1.63,,,,,,1.57,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.7,2.8,3,5.1,6.5,5.67,7.9,6.96,9.1,11.3,13,11.7,11.9,11.3,11.3,11.3,10.1,8.28,7.25,6.99,6.7,8.08,9.65,9.34,9.48,8.96,9.32,8.65,6.59,6.18,6.91,7.68,7.36,8.44,8.25,7.46,6.98,7.91,8.29,7.14,7.54,8.43,8.52,8.48,7.83,7.09,5.95,5.36,5.55
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,1.51,,,,,,,,,,0.69,,,,,,,,1.04,2.65,,,,,,,1.47,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,2.58,,,,2.44,,,,,2.78,,4,,3.3,,,,,,,6.48,,,,4.69,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,2.02,0.96,,,0.92,,2.2,,,,,2.51,,,,3.27,,,4.32,,4.25,3.59,,,5,3.38,,,4.43,,,4.35,4.37,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,11.1,15.3,16.4,12.8,11.1,12.5,13.7,12.2,14.1,16.2,19.9,18.1,13.7,12,10.1,8.95,6.88,5.61,6.82,10.3,11.3,12.3,12.9,11.4,9.14,7.57,6.16,5.21,4.23,5.12
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,4,1.13,4,1.2,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,21.2,,20.9,,14.7,,,,,,,12.1,,11,11.6,7.77,12.2,14.8,12.7,13.8,10.8,11.5,9.76,7.65,7.45,,6.87,9.05,10.8,10.2,10.2,7.54,7.88,8.18,14.3,,14.5,14,16.2,13.8,12,12.7,9.8,10,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,,,,,,,,31.1,29,23.4,24.1,27.3,27.6,28,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.5,1.4,2.1,2.9,4,2.8,2.3,2.1,2.1,2.3,3,3.1,1.9,1.5,1.2,1,0.8,6.1,,0.6,0.5,0.5,0.5,1,5.84,5.65,4.76,4.16,4.13
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,11.1,12.5,13.8,12.7,14.3,12.8,,9.07,10,,,10.9,9.39,8.51,8.18,,,,,8.35,8.24,7.58,7,6.6,,9.05,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,4.48,6.49,,8.44,6.66,8.94,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,9,8.1,7.1,6.1,5.2,5.3,5.3,5.5,5.6,6.1,10.2,11.6,14.2,14.7,19.3,19.8,20.3,18,10.1,6.69,6.59,5.52,5.99,3.08,3.69,5.23,2.08,,3.93,4.47,5.24,5.48,,4.17,5.45,5.08,5.18,2.6,2.97,,2.25,2.07,2.44,2.02,3.11,3.5,3.65,3.52,3.82,7.9
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,2.78,,,1.92,2.32,2.36,2.76,,3.99,4.83,4.62,4.04,3.38,2.37,3.56,3.79,2.97,3.69,,6.42,6.03,,6.42,7.25,8.16,9.42,10.2,,9.61,9.37,9.99,9.11,9.57,8.64,8.33,7.34,8.52,,6.92,7.19,6.98,6.66,8.43,11.6,12.8,12.3,11.9,13.7
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86,12.4,13.3,9.45,8.98,7.23,8.39,9.06,17,18.9,17.9,17.9,17.6,14.1,8.16,7.52,22.9,24.5,23,19.7,14.7,14.6,12.4,10.6,9.35,9.85,10.3,11,,,,,,10,10.7,,,11.6,12.2,9.8,8.25,8.62,8.32,8.41,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,7.85,8.06,8.7,10,7.67,7.84,6.55,6.04,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,6.97,,,9.32,8.7,6.92,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,,1.9,,1.8,2.49,3.1,3.13,3.7,,3.96,3.32,3.23,2.05,2.87,2.63,2.45,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,13.8,,,21.2,,21.6,,20.9,,15.9,18.5,,23.8,,,17.8,,,16.2,17.9,,,,,,,,,22.6,24.9
Canada,,,,,,,,,,,,,,,,,,,,,,,4.7,5.9,6.4,6.3,5.6,5.4,,7.09,8.05,8.38,7.53,7.54,7.61,11,12,11.3,10.5,9.59,8.82,7.76,7.55,8.13,10.3,11.2,11.4,10.4,9.49,9.62,9.1,8.28,7.58,6.83,7.22,7.66,7.57,7.19,6.76,6.32,6.04,6.14,8.34,8.06,7.51,7.29,7.07,6.91,6.91,7,6.34,5.83,5.66,9.46
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.7,0.4,0.4,0.4,0.2,0.2,0.4,0.9,1.1,1,0.8,0.8,0.7,0.6,2.07,1.78,2.81,3.72,3.88,3.33,3.71,4.2,3.6,3.15,2.67,2.49,2.92,4.12,4.32,4.44,4,3.65,3.35,4.12,4.8,4.4,4.48,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,12.8,11.8,14.3,13.6,10.5,11.3,19.6,14.7,13.9,,8.71,,6.23,5.29,5.63,5.23,4.35,4.49,5.87,4.7,7.41,7.14,7.31,11.2,10.5,10.4,10.2,9.77,10.2,9.34,9.02,8.43,9.29,11.3,8.42,7.34,6.66,6.21,6.66,6.51,6.74,6.96,7.23,7.29,11.2
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.4,4.9,3.8,3.2,2.3,1.9,1.8,2,2,2,2.6,2.5,2.3,2.3,2.6,2.8,2.9,3,3.1,3.1,3.1,3.1,3.6,4,4.3,4.2,4.2,4.1,4,4.2,4.3,4.1,4.1,4.1,4.05,4.1,,,3.9,3.8,5.15,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,4.1,,,4.1,,,,,,,,,,,,,,7.22,4.25,,,2.6,3.27,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06,,,,,7.46,,,,4.4,,3.06,,,4.11,,,,3.53,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,4.49,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,19.9,,,10,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,,,,,,,,,,13.1,,,,,8.93,,,,,8.15,,,,,0.79,,,1.27,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,9.4,,,9.1,8.13,11.5,11.1,13,13.9,12.9,10.8,,,,10.1,9.44,7.8,8.25,8.72,11.8,12.1,15,20.1,20.5,15,14.5,13.2,12.7,11.1,11.3,10.3,10.5,11.3,11,10.1,9.74,9.05,8.57,8.3,8.69,8.87,9.11,9.96,15
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,8.14,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,10.7,,,,,31.3,,12.2,12.2,11.3,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,5.37,3.93,3.95,4.05,5.18,6.16,5.68,5.33,5.9,5.08,5.92,6.33,6.56,6.39,6.57,5.74,4.49,4.78,7.71,7.17,10.1,9.78,8.77,9.06,9,8.6,8.14,9.63,11.5,17.4
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,7.61,7.1,6.23,6.26,5.45,4.08,3.31,2.33,1.85,1.95,1.91,1.79,1.58,1.67,2.5,3.18,3.46,3.29,2.7,2.4,2,1.7,1.7,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,,7.22,5.74,4.94,5.1,4.14,4.17,,,7.54,5.37,3.61,3.45,3.54,2.62,3.83,3.97,6.04,6.68,6.78,6.21,6.27,4.7,4.24,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,7.4,3.1,2,1.7,2,2.6,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,2.09,2.7,2.7,2.6,3.1,3.4,3.3,5.7,4.97,3.98,3.3,4.14,4.33,5.3,4.54,3.92,3.65,5.36,6.26,7.86,11.8,15.9,16.1,14.9,12.9,11.1,8.37,7.07,7.59
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.27,2.6,4.32,4.3,4.02,3.89,4.27,5.9,8.49,8.76,7.99,7.02,7.54,8.21,7.93,7.15,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.24,2.01,2.55
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45,6.67,6.87,6.61,6.82,6.32,5.71,4.89,5.32,6.32,7.68,8.73,8.16,8.82,9.86,9.79,8.86,7.92,7.77,8.48,9.78,10.7,11.2,10.3,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.81
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,9.53,,,,,,23.2,,15.7,,11,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.1,5.1,5.3,6.4,7.3,6.1,7,9.2,10,9.74,8.87,7.8,6.03,6.09,6.49,8.15,8.34,9.1,9.03,10.7,8.04,6.99,6.84,5.4,5.04,5.14,4.48,4.16,4.27,5.4,5.2,4.83,3.9,3.8,3.68,6.41,7.75,7.77,7.8,7.38,6.93,6.28,5.99,5.83,5.13,5.02,5.64
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,7.26,6.78,6.94,6.3,6.59,5.65,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.36,6.13
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,21.3,20.6,24.4,26.2,27.7,31.8,,25.4,,,29.8,27.3,25.9,23.7,17.6,15.3,12.3,13.8,11.3,10.2,9.96,9.96,11,9.82,10.2,11.2,10.2,13.6,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.3,,5.8,,,,,,,,,,7.24,6.99,7.71,5.88,8.19,8.56,7.95,6.68,6.7,10.4,9.17,11.5,14,4.8,4.25,,5.66,5,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.11
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.82,1.53,1.71,2.3,2.57,,3.13,3.64,4.55,5.18,4.97,5.21,6.47,5.89,,,,,7.06,8.43,9.38,8.92,10.9,10.9,11,9,8.37,8.03,7.95,8.98,9.26,10,11,10.3,11.2,10.5,8.8,8.52,9.09,8.76,11.8,12.6,13.2,13.1,13.1,12.4,11.7,9.82,7.84,
Spain,,,,,,,,,,,,,,,,,,,,,,,1.3,1.1,1.5,1.5,2.49,3.04,4.8,2.9,5.2,6.97,8.61,11.4,14.2,16,17.5,20.3,21.6,21.3,20.6,19.9,17.3,16.3,15.9,17.7,22.2,24.2,22.7,22.1,20.7,18.7,15.5,13.8,10.3,11.2,11.3,11.1,9.15,8.45,8.23,11.3,17.9,19.9,21.4,24.8,26.1,24.4,22.1,19.6,17.2,15.3,14.1,15.5
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.64,1.47,3.68,6.54,7.56,9.66,9.92,10.4,9.51,11.6,13.4,13.1,10,11.3,10.3,8.03,5.91,4.59,5.45,13.6,16.7,12.3,10,8.63,7.35,6.19,6.76,5.76,5.37,4.45,6.8
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,3.1,,,,,3.71,,,,,,2.5,,,,,,,,2.25,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,2.83,1.89,2.26,2.42,2.45,1.61,2.08,3.75,6.09,7.23,6.2,4.86,5.04,5.28,5.43,5.12,4.73,5.32,5.07,4.47,3.14,3.07,6.5,11.6,16.2,16.4,17,15.6,15,13.2,11.7,11.1,10.3,10.4,10.5,10.4,8.38,7.72,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.69,7.76
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,5.93,5.35,5.88,5.7,5.4,5.78,,,,,,,8.22,4.7,3.89,,,8.94,8.72,8.91,4.41,9,,6.17,,4.32,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,0.97,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.67,2.77,2.69,2.86,4.08,4.47,5.01,5.27,6.03,6.42,7.54,8.2,7.92,9.53,10.3,10.2,10.7,10.2,9.62,9.36,9.13,10.2,11.3,12.6,11.8,12.4,12.6,12.1,12,10.2,8.61,8.7,8.31,8.91,8.49,8.45,7.66,7.06,8.74,8.87,8.81,9.4,9.92,10.3,10.3,10.1,9.41,9.02,8.41,8.01
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4,,3.85,3.7,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,,,,,,16.9,,,,,20.4,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.5,3.7,3.1,2.3,2.9,4.6,5.9,7.1,7.4,8,7.7,5.8,3.3,2,2.1,4.1,4.3,4.9,4.7,4.4,3.54,,,0.8,0.6,1.6,0.5,0.8,1,1.4,2.42,1.4,1.4,,,3.3,,2.6,1.98,,2.67,,,,
